URI,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence,Duration (ms)
spotify:track:1fhLgOJgIIZEsWWffk8ljs,0.378870674,1.073423731,0.763747984,0.764426351,0,1.140800813,0.623769054,1.30901602,1.082027957,1.199300902
spotify:track:5dae01pKNjRQtgOeAkFzPY,1.486338798,1.223083771,0.522345351,0.658988233,0,0.998674534,0.748954539,1.546055563,0.608640726,1.156289977
spotify:track:68GJRIs9vkHFy9l0Sbdsix,0.349726776,1.175347379,0.984340045,0.471542691,9.034227748,0.55437507,0.707945501,1.224936699,0.683781556,0.889299646
spotify:track:33FdwvfiSBRbE2AQ4UehaR,0.29143898,0.994723193,1.311066022,0.650201724,2.46478E-05,0.865302111,1.126669365,1.287422182,1.46148915,1.041874868
spotify:track:68ZOKozM9xmlp1iwaQSwY7,0.757741348,0.887638855,1.583684512,1.312118794,0.000186847,0.81492615,0.867664913,0.920996231,1.743267264,0.963046215
spotify:track:5uEwpyOYHFGqme4WnVQhfs,0.262295082,1.141802887,1.639873056,0.462756182,6.231530031,1.003134045,0.787805207,1.074123776,1.068878312,1.061722871
spotify:track:7Jf323ttHKUnPylFWiaGl3,0.932604736,0.796036589,1.539982311,1.118815578,0.054563158,0.682957647,1.215162552,1.378259453,1.570443354,1.002184792
spotify:track:00vJeips2Rwr2qN1qODvyf,0.349726776,1.270820163,0.672181468,0.255394551,0.098591352,0.439914278,0.70147039,0.793152904,0.291170718,1.178504085
spotify:track:3RxI4EHxmNqd7nHJPqbxUm,0.087431694,1.176637552,0.8553145,0.603340338,0.028822069,0.969357376,0.761904762,0.643195181,0.563556228,1.190684485
spotify:track:0zII0Soax7wbm3Avw7iVAd,1.194899818,1.038589067,0.418292493,0.623842194,0.000816957,0.799978528,0.643194388,0.89539596,0.381339714,1.213456021
spotify:track:1hVEHu6SemMvlYAP5MWkDj,0.87431694,1.212762389,0.51610218,0.64434405,0.019579129,1.110740403,0.645352759,0.663496921,0.358797465,1.435318386
spotify:track:3GVyT9fBXuEkGs1STo2WHZ,1.194899818,1.065682695,1.096717132,1.853953563,0,1.293084867,2.460542291,1.702724758,1.805258449,0.693422925
spotify:track:7bETs6oajlWYVo9ycX74Vp,0.408014572,1.254047917,0.349617606,1.338478323,1.32184E-05,1.392102536,0.809388911,0.806389935,0.379461193,1.243106459
spotify:track:3Rd7lzhb3AtQPuQ4UZiSCc,0.29143898,1.103097705,0.830341814,1.274043918,0,1.265584547,0.833130986,1.566868565,1.277394116,0.968187601
spotify:track:1nz7qrpaifFdBUp22qde4O,0.87431694,1.248887226,0.769991156,0.41296596,1.58024E-05,0.837058539,0.841764468,0.616349291,0.56919179,0.945967563
spotify:track:0VLsWxGXctGx9QtaHCpVEk,0.524590164,1.165025997,0.599344467,0.494973384,0.000419411,1.007015472,0.634560907,0.66382227,0.430181254,1.091373309
spotify:track:0d1IE5LVXuy4V638hzBNJV,0.174863388,1.210182043,0.409968264,1.130530925,0.113300546,1.310509995,0.714420612,0.801500414,0.398246401,1.275994724
spotify:track:0BHroBUvBAp561BYqC9LRK,1.428051002,1.250177399,0.776234327,0.363175738,0.008855332,0.930543111,0.738162687,0.807393868,0.659360786,1.097066193
spotify:track:5eOP7g5BLBpmksOeoFn77Y,0.845173042,1.104387878,0.996826388,0.442254326,8.507479596,0.124775476,0.744637798,1.10527356,1.044457542,1.091136105
spotify:track:2gCQe48O4GMJz6oFBqnN9e,1.049180328,1.15728496,0.959367359,0.726351475,0,1.151206339,1.038176177,1.306617737,0.758922387,1.100624245
spotify:track:4wnFpRgQu2gLN8d76dYOGr,0.932604736,1.095356668,0.996826388,0.278825244,0,0.719955075,0.591393498,0.648688922,0.657482266,1.077455394
spotify:track:3rIhZKroSQQjNcgGQsdaJF,1.078324226,1.09148615,0.310077519,0.401250613,0.000194797,0.73242519,0.70362876,0.770174011,0.475265752,0.950871745
spotify:track:5vIe5BmOlPXarqRxJh9FNE,1.078324226,1.21792308,0.576452838,0.553550116,0,0.973982055,0.710103872,0.805516143,0.390732318,0.986606453
spotify:track:4cS2Ya30FLHqNb3hwbtjrJ,0.699453552,1.195990143,1.102960304,0.249829761,0,0.990581347,0.705787131,0.728520121,0.210394325,1.152648903
spotify:track:5bETzPVHt11c82M57szEJV,0.816029144,0.866996091,0.437022007,0.793714717,3.389077736,1.207363149,0.712262242,0.569619966,0.428302733,1.082596779
spotify:track:1RWg0d6f3GkPHWTW38TcFt,0.757741348,0.980531293,1.042609646,2.023826086,9.223061992,0.961842274,0.65398624,0.93273666,1.673761996,0.999178238
spotify:track:7GtpZ01gEJDxrXfH2ayvuc,0.43715847,1.139222542,0.341293377,1.34140716,9.004411815,1.324631781,0.785646837,1.008858888,0.123418814,2.056157039
spotify:track:1mMSH14XSSjzLvNuf62azx,1.224043716,1.02568734,1.329795536,0.849362612,0,1.034763543,0.949682989,1.142391164,1.252973346,0.939485977
spotify:track:7iv8br1y5Hv63QX5Z2HFjv,1.194899818,1.081164768,0.80328807,0.518404077,0.002434968,1.073990726,0.645352759,0.907982295,0.548528062,1.041394531
spotify:track:3ZWp5lfQT2yDRWzJDIAed3,0.466302368,1.014075785,1.130014047,0.316314352,0,0.574029953,1.146094699,1.156790155,0.751408304,1.080064632
spotify:track:4iyzrJ3qIGBvG8yl5dWHQ8,0.932604736,1.148253751,0.630560325,0.547692443,2.72319E-05,1.040792141,0.636719277,0.841127848,0.432059775,1.164509078
spotify:track:049uxirFkHOefJ0yqPW8Kk,1.224043716,1.260498781,0.836584985,0.465685018,0.00017492,0.464111257,0.660461352,0.630209133,0.529742854,0.776206947
spotify:track:30F5DTdI9dYwW69OEe0L56,0.670309654,1.268239817,0.495291608,0.363175738,0.122245326,0.793702179,0.75327128,0.590451559,0.362554506,1.268801528
spotify:track:5tAipU3eQhBly8sJQyn5c8,0.786885246,1.134061851,0.749180584,0.67949009,0.000206724,1.073908142,0.625927425,0.676473674,0.802128364,1.093905456
spotify:track:4YQU4nreaVr16nDq1uaI0E,0.670309654,0.552193939,1.161229905,0.641415214,0,0.831608025,1.266963443,1.111483067,0.7420157,0.945848961
spotify:track:5ZqiHCo9WbLBLPTALP9aRC,1.31147541,1.087615632,1.404713595,0.67949009,0,0.941196388,2.201537839,0.59901287,1.123355414,1.005902957
spotify:track:0EIEvpiVxoXEn5GZWvG1RT,0.932604736,1.113419087,0.8844493,0.550621279,0,1.180193163,0.623769054,0.902126024,0.943017421,1.100784358
spotify:track:1LvJvqApB38VYkZDoFfhxC,0.87431694,0.940535938,1.660683627,0.91965469,0,1.021715343,0.932416026,1.040083038,1.818408095,0.75541606
spotify:track:2vZNvA8PEvBdeWr4EkZjLG,0.757741348,0.614122231,0.790801727,0.615055685,2.30577E-05,0.934837455,0.662619722,0.724987767,0.971195232,1.072397029
spotify:track:2dX2phLETbjqZA0D78ms4T,0.903460838,1.23211498,0.58269601,0.442254326,0.010634349,0.817651407,0.766221503,0.708534434,0.330619654,1.294259394
spotify:track:5HisVcYPaIB4uHdrnW6HCt,1.107468124,0.667019314,1.06133916,1.007519788,7.493737868,0.914852237,0.979900175,1.099435881,1.328114176,1.124581799
spotify:track:1uRKT2LRANv4baowBWHfDS,1.719489982,0.264485415,1.687737371,2.515870633,3.70711E-05,1.478319755,3.626062323,0.842986982,1.472760275,0.770276859
spotify:track:7985fUI9WlsIIrQuO9TBDh,0.903460838,1.07729425,1.639873056,2.571518529,8.73607E-05,1.270456976,0.884931876,0.93016176,1.745145785,1.073743159
spotify:track:4AyqwjnbbWfFLPKL4UUSzU,0.990892532,1.250177399,0.763747984,0.559407789,8.795700283,0.296879581,0.740321058,1.001180666,0.398246401,1.078487229
spotify:track:4dnbvB2Y3cZncApCwowEQx,0.757741348,0.265775587,0.503615837,0.612126848,0.287226823,0.925010013,0.699312019,0.866979102,0.415153088,0.909515315
spotify:track:5koEBSDfDV8MQVN0tg67z5,1.02003643,0.981821466,0.493210551,0.925512363,0,1.075394646,0.725212465,0.77071316,0.54477102,1.064255019
spotify:track:4bsND9IuJz18UtFx2MwwO8,1.107468124,1.086325459,0.919827272,0.544763606,0,1.137992972,0.576284905,0.685806525,1.095177602,1.061248464
