,URI,Artist,Song,Release Date,Release Date Decade,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence,Duration (ms),WH,War?,Image URL
0,spotify:track:1fhLgOJgIIZEsWWffk8ljs,The Weavers,Goodnight Irene,1950,1950,13,0.832,0.367,0.261,0,-10.404,0.0289,140.82,0.576,202240,D,War,https://i.scdn.co/image/7531985d2d3ecfdd34682c51b2018f098b27758a
1,spotify:track:5dae01pKNjRQtgOeAkFzPY,Nat King Cole,Mona Lisa,1950,1950,51,0.948,0.251,0.225,0,-12.125,0.0347,166.32,0.324,194987,D,War,https://i.scdn.co/image/9decf0d0d5d68539cac3935d0cff2855877e4cfe
2,spotify:track:68GJRIs9vkHFy9l0Sbdsix,Various Artists,The Third Man (The Harry Lime Theme),1950,1950,12,0.911,0.473,0.161,0.909,-17.505,0.0328,131.775,0.364,149964,D,War,https://i.scdn.co/image/ab67616d0000b273b7410c244d8f8502f63c821b
3,spotify:track:33FdwvfiSBRbE2AQ4UehaR,Bing Crosby,Play A Simple Melody - Single Version,1950,1950,10,0.771,0.63,0.222,2.48E-06,-13.74,0.0522,138.497,0.778,175693,D,War,https://i.scdn.co/image/a33d75b375bc73a5b6fe9a724a626c6996065eef
4,spotify:track:68ZOKozM9xmlp1iwaQSwY7,Teresa Brewer,Music! Music! Music!,1950,1950,26,0.688,0.761,0.448,1.88E-05,-14.35,0.0402,99.078,0.928,162400,D,War,https://i.scdn.co/image/9ea3a8915cc70c3a1e0325d67ac81df9e3fc0110
5,spotify:track:5uEwpyOYHFGqme4WnVQhfs,Guy Lombardo,The Third Man Theme,1950,1950,9,0.885,0.788,0.158,0.627,-12.071,0.0365,115.551,0.569,179040,D,War,https://i.scdn.co/image/ab67616d0000b2733ac55e43d3840cc10857ea37
6,spotify:track:7Jf323ttHKUnPylFWiaGl3,Red Foley,Chattanoogie Shoe Shine Boy - 1949 Single Version,1950,1950,32,0.617,0.74,0.382,0.00549,-15.948,0.0563,148.269,0.836,169000,D,War,https://i.scdn.co/image/cdb4076bb04ff23b12261154f22badf897adb3e3
7,spotify:track:00vJeips2Rwr2qN1qODvyf,Various Artists,Harbor Lights,1950,1950,12,0.985,0.323,0.0872,0.00992,-18.891,0.0325,85.325,0.155,198733,D,War,https://i.scdn.co/image/ab67616d0000b27385e3b1a8039abef513d43f9c
8,spotify:track:3RxI4EHxmNqd7nHJPqbxUm,Sammy Kaye,It Isn't Fair,1950,1950,3,0.912,0.411,0.206,0.0029,-12.48,0.0353,69.193,0.3,200787,D,War,https://i.scdn.co/image/ab67616d0000b2735b2ccbbb29f989aded75dde0
9,spotify:track:0zII0Soax7wbm3Avw7iVAd,Nat King Cole,Too Young,1951,1950,41,0.805,0.201,0.213,8.22E-05,-14.531,0.0298,96.324,0.203,204627,D,War,https://i.scdn.co/image/cc1a2e34877206655de34dfb79eb61105d02f5d5
10,spotify:track:1hVEHu6SemMvlYAP5MWkDj,Tony Bennett,Because of You,1951,1950,30,0.94,0.248,0.22,0.00197,-10.768,0.0299,71.377,0.191,242040,D,War,https://i.scdn.co/image/ab67616d0000b273c2c103caf406c34746736307
11,spotify:track:3GVyT9fBXuEkGs1STo2WHZ,Rosemary Clooney,Come On-A My House,1951,1950,41,0.826,0.527,0.633,0,-8.56,0.114,183.174,0.961,116933,D,War,https://i.scdn.co/image/9162b7aa2472c39b8344851b6178a0d95e8511da
12,spotify:track:7bETs6oajlWYVo9ycX74Vp,Mario Lanza,"Be My Love (From ""The Toast of New Orleans"")",1951,1950,14,0.972,0.168,0.457,1.33E-06,-7.361,0.0375,86.749,0.202,209627,D,War,https://i.scdn.co/image/ab67616d0000b273a1bd4e463daa74b780125e9a
13,spotify:track:3Rd7lzhb3AtQPuQ4UZiSCc,The Weavers,On Top Of Old Smoky,1951,1950,10,0.855,0.399,0.435,0,-8.893,0.0386,168.559,0.68,163267,D,War,https://i.scdn.co/image/ab67616d0000b273668be5ce0a0d494c19060fef
14,spotify:track:1nz7qrpaifFdBUp22qde4O,Tony Bennett,Cold Cold Heart,1951,1950,30,0.968,0.37,0.141,1.59E-06,-14.082,0.039,66.305,0.303,159520,D,War,https://i.scdn.co/image/7531985d2d3ecfdd34682c51b2018f098b27758a
15,spotify:track:0VLsWxGXctGx9QtaHCpVEk,Perry Como,If,1951,1950,18,0.903,0.288,0.169,4.22E-05,-12.024,0.0294,71.412,0.229,184040,D,War,https://i.scdn.co/image/ab67616d0000b273d2cef2d1229a5711fd39b18e
16,spotify:track:0d1IE5LVXuy4V638hzBNJV,Mario Lanza,"The Loveliest Night of the Year (From ""The Great Caruso"")",1951,1950,6,0.938,0.197,0.386,0.0114,-8.349,0.0331,86.223,0.212,215173,D,War,https://i.scdn.co/image/ab67616d0000b273c143b8172ccb7ac602cffec5
